Hero Name,Team,Games Played,Wins,Loss
Bruno,Geek Fam ID,10,4,6
Bruno,Team SMG,9,8,1
Bruno,Deus Vult,9,4,5
Bruno,Blacklist International,8,6,2
Bruno,Burmese Ghouls,6,2,4
Valentina,Blacklist International,12,8,4
Valentina,Team Lilgun,8,5,3
Valentina,Team SMG,8,3,5
Valentina,Deus Vult,8,2,6
Valentina,ONIC,7,5,2
Terizla,Deus Vult,12,6,6
Terizla,ONIC,10,8,2
Terizla,Fire Flux Esports,7,5,2
Terizla,Team SMG,6,5,1
Terizla,Imperio,5,3,2
Faramis,Deus Vult,8,4,4
Faramis,AP.Bren,7,7,0
Faramis,Imperio,6,4,2
Faramis,Blacklist International,6,3,3
Faramis,Team Lilgun,6,3,3
Arlott,AP.Bren,12,8,4
Arlott,Team Lilgun,8,4,4
Arlott,See You Soon,7,4,3
Arlott,Blacklist International,7,3,4
Arlott,Geek Fam ID,5,2,3
Claude,ONIC,11,7,4
Claude,AP.Bren,9,5,4
Claude,Geek Fam ID,7,5,2
Claude,Blacklist International,7,3,4
Claude,See You Soon,6,4,2
Brody,AP.Bren,7,7,0
Brody,Deus Vult,7,2,5
Brody,RRQ Akira,5,1,4
Brody,Team Lilgun,5,1,4
Brody,Fire Flux Esports,4,2,2
Lylia,Geek Fam ID,8,3,5
Lylia,Team SMG,6,6,0
Lylia,Blacklist International,6,3,3
Lylia,Fire Flux Esports,6,3,3
Lylia,RRQ Akira,4,3,1
Guinevere,ONIC,6,6,0
Guinevere,Team Lilgun,5,5,0
Guinevere,Geek Fam ID,5,4,1
Guinevere,Team Flash,4,3,1
Guinevere,Deus Vult,4,2,2
Mathilda,AP.Bren,9,7,2
Mathilda,Blacklist International,7,4,3
Mathilda,Team SMG,7,4,3
Mathilda,Team Lilgun,5,2,3
Mathilda,ONIC,3,2,1
Baxia,Deus Vult,9,4,5
Baxia,Geek Fam ID,6,4,2
Baxia,Team Lilgun,4,3,1
Baxia,Blacklist International,3,1,2
Baxia,Burmese Ghouls,3,1,2
Martis,See You Soon,6,3,3
Martis,AP.Bren,5,3,2
Martis,Burmese Ghouls,5,0,5
Martis,Team Lilgun,4,2,2
Martis,Team SMG,3,2,1
Fredrinn,Blacklist International,10,5,5
Fredrinn,AP.Bren,8,7,1
Fredrinn,ONIC,4,3,1
Fredrinn,Geek Fam ID,3,1,2
Fredrinn,Team Lilgun,3,1,2
Novaria,AP.Bren,9,7,2
Novaria,ONIC,5,5,0
Novaria,Team Lilgun,3,3,0
Novaria,Deus Vult,3,2,1
Novaria,Imperio,2,1,1
Akai,Team SMG,8,7,1
Akai,Blacklist International,7,5,2
Akai,AP.Bren,4,3,1
Akai,Geek Fam ID,4,0,4
Akai,Team Falcons,2,1,1
Angela,Burmese Ghouls,5,1,4
Angela,Deus Vult,5,1,4
Angela,Team Lilgun,4,3,1
Angela,See You Soon,4,2,2
Angela,AP.Bren,2,2,0
Minotaur,Deus Vult,6,3,3
Minotaur,Geek Fam ID,5,3,2
Minotaur,ONIC,3,3,0
Minotaur,HomeBois,3,2,1
Minotaur,Team Lilgun,3,2,1
