Rank,Hero,Games Played,Games Won,Games Lost,Win Rate,Pick Rate,Blue Games Played,Blue Games Won,Blue Games Lost,Blue Win Rate,Red Games Played,Red Games Won,Red Games Lost,Red Win Rate,Games Banned,Ban Rate,Bans and Picks,Ban and Pick Rate,Team Picks
1,Bruno,85,47,38,55.29%,55.92%,41,22,19,53.66%,44,25,19,56.82%,51,33.55%,136,89.47%,"{'Geek Fam ID': '10 (4-6)', 'Team SMG': '9 (8-1)', 'Deus Vult': '9 (4-5)', 'Blacklist International': '8 (6-2)', 'Burmese Ghouls': '6 (2-4)'}"
2,Valentina,85,41,44,48.24%,55.92%,41,19,22,46.34%,44,22,22,50.00%,32,21.05%,117,76.97%,"{'Blacklist International': '12 (8-4)', 'Team Lilgun': '8 (5-3)', 'Team SMG': '8 (3-5)', 'Deus Vult': '8 (2-6)', 'ONIC': '7 (5-2)'}"
3,Terizla,79,42,37,53.16%,51.97%,44,25,19,56.82%,35,17,18,48.57%,33,21.71%,112,73.68%,"{'Deus Vult': '12 (6-6)', 'ONIC': '10 (8-2)', 'Fire Flux Esports': '7 (5-2)', 'Team SMG': '6 (5-1)', 'Imperio': '5 (3-2)'}"
4,Faramis,67,34,33,50.75%,44.08%,24,10,14,41.67%,43,24,19,55.81%,64,42.11%,131,86.18%,"{'Deus Vult': '8 (4-4)', 'AP.Bren': '7 (7-0)', 'Imperio': '6 (4-2)', 'Blacklist International': '6 (3-3)', 'Team Lilgun': '6 (3-3)'}"
5,Arlott,66,29,37,43.94%,43.42%,26,8,18,30.77%,40,21,19,52.50%,54,35.53%,120,78.95%,"{'AP.Bren': '12 (8-4)', 'Team Lilgun': '8 (4-4)', 'See You Soon': '7 (4-3)', 'Blacklist International': '7 (3-4)', 'Geek Fam ID': '5 (2-3)'}"
6,Claude,58,28,30,48.28%,38.16%,28,12,16,42.86%,30,16,14,53.33%,27,17.76%,85,55.92%,"{'ONIC': '11 (7-4)', 'AP.Bren': '9 (5-4)', 'Geek Fam ID': '7 (5-2)', 'Blacklist International': '7 (3-4)', 'See You Soon': '6 (4-2)'}"
7,Brody,53,23,30,43.40%,34.87%,28,11,17,39.29%,25,12,13,48.00%,22,14.47%,75,49.34%,"{'AP.Bren': '7 (7-0)', 'Deus Vult': '7 (2-5)', 'RRQ Akira': '5 (1-4)', 'Team Lilgun': '5 (1-4)', 'Fire Flux Esports': '4 (2-2)'}"
8,Lylia,52,25,27,48.08%,34.21%,37,18,19,48.65%,15,7,8,46.67%,32,21.05%,84,55.26%,"{'Geek Fam ID': '8 (3-5)', 'Team SMG': '6 (6-0)', 'Blacklist International': '6 (3-3)', 'Fire Flux Esports': '6 (3-3)', 'RRQ Akira': '4 (3-1)'}"
9,Guinevere,51,32,19,62.75%,33.55%,28,18,10,64.29%,23,14,9,60.87%,98,64.47%,149,98.03%,"{'ONIC': '6 (6-0)', 'Team Lilgun': '5 (5-0)', 'Geek Fam ID': '5 (4-1)', 'Team Flash': '4 (3-1)', 'Deus Vult': '4 (2-2)'}"
10,Mathilda,49,27,22,55.10%,32.24%,29,14,15,48.28%,20,13,7,65.00%,82,53.95%,131,86.18%,"{'AP.Bren': '9 (7-2)', 'Blacklist International': '7 (4-3)', 'Team SMG': '7 (4-3)', 'Team Lilgun': '5 (2-3)', 'ONIC': '3 (2-1)'}"
11,Baxia,47,19,28,40.43%,30.92%,22,10,12,45.45%,25,9,16,36.00%,58,38.16%,105,69.08%,"{'Deus Vult': '9 (4-5)', 'Geek Fam ID': '6 (4-2)', 'Team Lilgun': '4 (3-1)', 'Blacklist International': '3 (1-2)', 'Burmese Ghouls': '3 (1-2)'}"
12,Martis,46,20,26,43.48%,30.26%,16,6,10,37.50%,30,14,16,46.67%,19,12.50%,65,42.76%,"{'See You Soon': '6 (3-3)', 'AP.Bren': '5 (3-2)', 'Burmese Ghouls': '5 (0-5)', 'Team Lilgun': '4 (2-2)', 'Team SMG': '3 (2-1)'}"
13,Fredrinn,41,20,21,48.78%,26.97%,19,8,11,42.11%,22,12,10,54.55%,11,7.24%,52,34.21%,"{'Blacklist International': '10 (5-5)', 'AP.Bren': '8 (7-1)', 'ONIC': '4 (3-1)', 'Geek Fam ID': '3 (1-2)', 'Team Lilgun': '3 (1-2)'}"
14,Novaria,39,22,17,56.41%,25.66%,21,12,9,57.14%,18,10,8,55.56%,15,9.87%,54,35.53%,"{'AP.Bren': '9 (7-2)', 'ONIC': '5 (5-0)', 'Team Lilgun': '3 (3-0)', 'Deus Vult': '3 (2-1)', 'Imperio': '2 (1-1)'}"
15,Akai,38,18,20,47.37%,25.00%,20,8,12,40.00%,18,10,8,55.56%,21,13.82%,59,38.82%,"{'Team SMG': '8 (7-1)', 'Blacklist International': '7 (5-2)', 'AP.Bren': '4 (3-1)', 'Geek Fam ID': '4 (0-4)', 'Team Falcons': '2 (1-1)'}"
16,Angela,35,14,21,40.00%,23.03%,12,5,7,41.67%,23,9,14,39.13%,58,38.16%,93,61.18%,"{'Burmese Ghouls': '5 (1-4)', 'Deus Vult': '5 (1-4)', 'Team Lilgun': '4 (3-1)', 'See You Soon': '4 (2-2)', 'AP.Bren': '2 (2-0)'}"
